gene	n_candidate_peaks_tested	n_significant_positive_links	latent_mask_fraction	mask_low_center	mask_high_center	control_p99	n_enhancers_retained	rank_eligible	note	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	absolute_divergence_score	absolute_rank
tbx1	56	42	0.007919911012235818	0.008357027653353813	0.32795673590333857	36.117306847025326	42	True		1.0223969304654137	1.0489047272614092	1.8032199153384034	1.9216817588686739	0.3322756568889743	1.3347261244146096	105.0
sox19a	61	30	0.27225806451612905	0.026837850683448496	0.39824795759734066	108.33186808735472	30	True		0.9801666797470666	0.9769857274731031	1.8650375767179999	2.215636844654086	0.4942484061897492	1.33411503853544	106.0
bmp7a	52	29	0.06674082313681869	0.022132130811046917	0.28332340845599613	38.34804299093576	29	True		1.002403019356879	1.0368293589473774	1.8315723322217794	1.9999883284021853	0.43068173584147906	1.334070744502839	107.0
lamp2	39	28	0.012235817575083427	0.04537848542294288	0.2473905619871088	44.495696166993625	28	True		1.086244171032098	1.0868384459485225	1.704396266911113	1.7780994211093086	0.38280885563913075	1.3335050093837042	108.0
dlx3b	64	52	0.061802002224694105	0.029445511787651032	0.4182403445388727	123.70288856806718	52	True		0.9330211924460772	0.9397940479129508	1.9324046037947593	2.229087431312614	0.45571569705296666	1.3327745569855503	109.0
itm2cb	57	44	0.0910344827586207	0.03416603199890351	0.2380005247556181	15.025615912134912	44	True		1.1254752503209726	1.0403450676738062	1.6401423972657587	1.692754762941343	0.3579732678411572	1.331342109098887	110.0
mef2d	78	41	0.00271412680756396	0.01905837245201471	0.4091496003962041	66.7100831574662	41	True		0.9988380799052745	1.026797818304505	1.8231665732928193	1.8473696135583304	0.4495516827980956	1.3285694772602925	111.0
klf2b	41	37	0.006540600667408232	0.0139455915486863	0.1883338512168226	37.389397952979365	37	True		1.2017233539025671	1.1419003105552525	1.5149853411076506	1.6178954559575867	0.2264738936188782	1.3270281487846005	112.0
zeb1b	78	56	0.2852947719688543	0.052185465198938845	0.24270033556848952	33.75560828030189	56	True		1.097333056331629	1.0522988723581788	1.6666272950404657	1.6785984343245914	0.35088517640365424	1.3250507518151637	113.0
kmt5aa	68	44	0.3280978865406007	0.11684627876772574	0.24493748128754622	19.83846122113156	44	True		1.0244110330345286	0.9802556833356391	1.7746315609091592	1.93029405605527	0.41120793212991263	1.3244992441843808	114.0
admp	38	34	0.001379310344827586	0.0063150442217814904	0.27271922627382267	54.88051461163804	34	True		1.088525218897932	1.1137490116014588	1.6759468664585286	1.7003855152230714	0.3332098759751964	1.3234938779221705	115.0
cbx5	73	27	0.381979977753059	0.11314729390422266	0.24550165921876865	21.89719060147052	27	True		1.096493125342465	1.022600006571797	1.6611357415731112	1.7744322009877367	0.42049841316760783	1.3223501718347235	116.0
wnt8a	53	41	0.02117908787541713	0.019867639784695752	0.3027476074702969	35.51660380812937	41	True		1.0521596905882402	1.032668212313866	1.7244682959768243	1.827901308962609	0.3452335035372219	1.3210831327436738	117.0
her5	39	25	0.0132146829810901	0.00930864958298981	0.283693980723733	46.4833348014315	25	True		1.111346373335931	1.1122894283303906	1.6350811360856212	1.6853711535942528	0.36845156626035125	1.320840278435807	118.0
dand5	64	60	0.003203559510567297	0.009170992943459973	0.16803995395370383	4.513541666666667	60	True		1.179423737857354	1.1896863389657553	1.5319322096549126	1.5930618320170573	0.16359158486246989	1.3204271265763774	119.0
nkx1.2la	38	30	0.029010011123470524	0.013352212206377913	0.15157033840642262	8.856442301558612	30	True		1.2066402308821806	1.1464866115773582	1.4879480610714415	1.5531445000174802	0.23926276725992635	1.319163362957885	120.0
lhx1a	76	62	0.01770856507230256	0.008135035395407764	0.4281160646986604	73.46697422663186	62	True		0.9250676678468459	1.007799625166455	1.9095067434114015	2.040851008004201	0.3858204444640072	1.318843298072668	121.0
szl	61	26	0.021312569521690767	0.00783509639406593	0.41537698300883164	102.55987555599198	26	True		1.0793519815717212	1.0014327754667867	1.6739238900743905	1.755704075066818	0.4005527727401174	1.3171807449727888	122.0
osr1	56	48	0.014149054505005561	0.01464631897454443	0.24485432458634407	27.92691373887542	48	True		0.982160996138469	1.0198469789392233	1.815207710978159	1.9242738535834778	0.4598197653617759	1.315379682074345	123.0
nanog	28	21	0.0635817575083426	0.008167425909305245	0.09228544210522868	5.572330531928631	21	True		1.2463696843157361	1.2126633192313423	1.410760515212423	1.450422778753398	0.1549530383681854	1.3121260166744109	124.0
dnmt3bb.2	46	19	0.2288765294771969	0.05075633987314215	0.16736454495098155	11.632692207337902	19	True		1.1234195180400277	1.072652805664449	1.591881673687653	1.7136375033122044	0.4110808185168712	1.3108043802990779	125.0
skia	83	58	0.2999332591768632	0.073799002122835	0.3056949127721063	26.874826016922697	58	True		1.0337125543075856	1.0819657082772778	1.7230855821535283	1.7683000465703667	0.3981738325358174	1.3094617654459628	126.0
